,price_log,sqft_lot,sqft_above,sqft_garage,sqft_patio,bedrooms,bathrooms,floors,condition_num,extracted_grade_num,waterfront_YES,greenbelt_YES,basement_1.0,sewer_PUBLIC,heat_Electricity/Solar,heat_Gas,heat_Gas/Solar,heat_Oil
10279,13.081541382884074,10890,880,0,0,2,1.0,1.0,4,5,0,0,0,0,0,0,0,1
23930,13.460263166016727,12100,1300,0,0,3,2.0,1.0,4,8,0,0,1,1,0,1,0,0
9510,13.122363377404328,6493,1220,0,170,3,1.0,1.0,3,5,0,0,0,1,0,0,0,0
24580,13.071070083016778,7575,890,0,0,2,1.0,1.0,3,7,0,0,1,0,0,1,0,0
4577,13.429774545037105,8040,2540,0,0,5,3.0,2.0,4,7,0,0,0,1,0,0,0,1
27556,13.337474757021274,7440,1710,620,230,3,2.0,1.0,3,7,0,0,0,1,0,0,0,0
28587,14.077874822431765,338025,2990,1500,690,4,3.5,1.0,4,8,0,0,1,0,0,0,0,0
117,13.710150042306449,243936,1960,480,0,3,2.0,1.5,5,7,0,0,0,0,0,0,0,0
2836,13.484781795970127,210394,2070,260,230,3,2.0,1.5,3,7,0,0,0,0,0,0,0,0
10684,14.085537695177335,34678,3330,950,340,4,3.5,2.0,4,9,0,0,1,0,0,1,0,0
15309,13.800396920154226,3500,1280,0,430,5,3.0,1.0,3,7,0,0,1,1,0,0,0,0
13994,13.693342923990066,3680,1440,320,0,3,2.0,1.5,4,7,0,0,1,1,0,1,0,0
6049,14.038654109278484,20949,2640,360,60,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
19643,14.403297222866392,6200,3090,550,230,5,3.0,2.0,3,9,0,0,0,1,0,1,0,0
3715,14.71200666251025,204296,2280,750,1250,4,3.5,2.0,5,9,0,0,1,0,0,0,0,0
24973,12.468436909997665,41382,700,0,50,1,1.0,1.0,3,5,0,0,0,0,0,1,0,0
18300,14.22097566607244,2504,1850,200,170,5,4.0,1.5,3,8,0,0,1,1,0,1,0,0
1628,14.151982794585487,3819,1740,0,100,4,1.5,1.5,3,8,0,0,1,1,0,0,0,0
12805,14.070152776337855,2073,1420,220,0,3,3.0,2.0,3,8,0,0,1,1,0,1,0,0
23020,13.997832114758229,2070,1360,180,109,2,2.5,2.0,4,8,0,0,1,1,0,1,0,0
22685,13.710150042306449,538,1220,250,160,2,3.0,3.0,3,8,0,0,1,1,0,1,0,0
1839,15.687312734865866,18750,5820,970,410,6,5.5,2.0,3,12,0,0,0,1,0,1,0,0
19537,14.301018373745976,10500,1510,400,0,3,2.0,1.0,3,7,0,0,0,1,0,0,0,1
20430,15.356241272388583,8554,3940,510,530,5,4.5,2.0,3,9,0,1,0,1,0,1,0,0
9608,14.314668174515335,60536,2130,500,0,3,3.0,2.0,3,8,0,0,1,0,0,0,0,0
24335,15.449641082988746,8354,1830,730,1080,4,2.5,1.0,4,9,1,0,1,1,0,1,0,0
18272,14.669925886120343,87367,2680,530,560,3,3.5,2.0,3,10,0,0,1,0,0,1,0,0
10040,12.936033799212835,8507,1290,480,1130,3,2.5,1.0,3,7,0,0,1,1,0,1,0,0
21390,13.322524852326614,7200,1430,420,90,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
15757,13.309672475709322,9828,1420,480,330,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
30000,13.146079904021645,7677,1100,440,200,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
27700,13.102160670086809,6000,1110,460,0,3,2.0,1.0,3,7,0,0,0,1,0,1,0,0
1661,13.5985975564007,5421,1760,430,0,4,2.5,2.0,5,7,0,0,0,1,0,1,0,0
20452,13.592367006650065,7962,1780,440,360,4,2.5,2.0,4,7,0,0,0,1,0,1,0,0
449,13.594863886848652,6603,1690,400,0,3,2.5,2.0,4,7,0,0,0,1,0,1,0,0
11166,13.321214236149494,6000,1840,620,230,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
15752,13.270783382522602,6000,1370,430,0,3,2.5,2.0,4,7,0,0,0,1,0,1,0,0
7123,13.554145793829866,11691,1170,480,300,3,2.5,1.0,4,7,0,0,1,1,0,1,0,0
10567,13.466307628864243,6715,1170,480,520,3,2.5,1.0,5,7,0,0,1,1,0,1,0,0
2973,13.122363377404328,5760,1150,400,0,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
18886,12.994530005894443,6299,1650,410,0,3,2.5,2.0,4,7,0,0,0,1,0,1,0,0
18312,13.262125319779487,7087,1370,430,390,3,2.5,2.0,5,7,0,0,0,1,0,1,0,0
2025,13.304684934198283,6600,1460,430,80,3,2.0,1.0,5,7,0,0,0,1,0,1,0,0
1677,13.157633991486248,8096,1410,410,260,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
19065,13.312983737012978,6742,1400,410,460,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
28858,13.253391639810733,6979,1230,480,70,3,2.0,1.0,5,7,0,0,0,1,0,1,0,0
10470,13.38472764187182,6000,1640,480,200,3,2.5,2.0,4,7,0,0,0,1,0,1,0,0
15108,13.283631525000452,6000,1910,400,270,3,2.5,2.0,4,7,0,0,0,1,0,1,0,0
16651,14.346138809026444,23035,4810,1050,650,4,4.5,2.0,3,10,0,0,0,0,0,1,0,0
21355,14.240778293368619,23683,4100,1170,820,4,3.5,2.0,4,10,0,0,0,0,0,1,0,0
24827,14.169682371684887,25227,3550,1000,160,4,3.5,2.0,3,10,0,0,0,0,0,1,0,0
9752,14.077874822431765,21799,3440,1000,220,3,3.5,1.5,3,11,0,1,0,0,0,1,0,0
14134,14.316285845876763,23312,4330,1220,800,3,3.5,1.5,3,11,0,1,0,0,0,1,0,0
22552,13.560618308335483,41325,1420,480,2040,3,1.5,1.0,5,7,0,0,1,0,0,0,0,1
17959,13.270783382522602,28620,1390,460,280,4,2.0,1.0,4,7,0,0,0,0,0,0,0,0
4394,12.341477282536376,24300,1580,0,0,4,1.5,1.0,3,7,0,0,0,0,0,0,0,0
18484,13.751505227988362,7500,1320,0,240,5,3.0,1.0,5,7,0,0,1,1,0,1,0,0
18104,14.19394699368452,11200,2340,0,470,4,2.5,1.5,3,9,0,0,1,1,0,0,0,0
10022,13.369145327283938,8100,1210,0,270,3,1.0,1.5,3,7,0,0,0,1,0,0,0,1
5543,13.681979165339751,6000,1390,0,0,3,2.0,1.0,5,7,0,0,0,1,0,0,0,0
6524,13.721199878493033,7968,1470,580,140,4,3.0,1.0,4,7,0,0,1,1,0,0,0,0
259,13.496337818421122,8948,1420,340,320,2,2.0,1.0,3,7,0,0,1,1,0,0,0,1
18336,13.304684934198283,1387,1065,180,0,3,2.5,2.0,3,8,0,0,1,1,0,1,0,0
28627,13.490472698968725,1383,1105,190,0,3,2.5,2.0,3,8,0,0,1,1,0,1,0,0
5502,15.096444403426338,37950,1800,0,130,4,2.0,1.0,4,7,0,0,1,1,0,0,0,1
19724,13.9108207377686,74466,1380,440,120,3,3.0,1.0,4,7,0,0,1,0,0,0,0,1
12974,13.698976741708323,8042,1080,410,350,3,2.0,1.0,4,7,0,0,1,1,0,1,0,0
3545,14.006130917572923,11444,2010,400,50,4,2.5,2.0,4,8,0,0,0,1,0,1,0,0
9429,13.81451005763069,66646,1980,1120,900,3,2.5,1.0,3,9,0,0,1,0,0,0,0,0
2970,13.764217263576723,31500,1160,530,0,2,1.5,1.0,3,7,0,0,0,0,0,0,0,0
2062,14.446782334806132,216928,2780,720,540,3,2.5,1.0,3,8,0,0,1,0,0,1,0,0
4868,15.341566861459324,57499,5050,1030,80,4,5.0,1.5,3,12,0,0,0,0,0,1,0,0
49,14.01436141670944,100938,3450,690,820,4,3.0,2.0,3,9,0,0,0,0,0,1,0,0
11645,13.071070083016778,67082,2220,0,120,3,1.0,2.0,3,5,0,0,0,0,0,1,0,0
6821,13.592367006650065,85377,1090,0,260,2,2.0,1.0,3,7,0,0,0,0,0,0,0,0
27772,14.042646130548022,179902,4000,0,450,5,2.5,2.0,3,8,0,0,0,0,0,1,0,0
11065,15.068273526459642,42750,2690,360,410,3,1.5,2.0,5,7,0,0,1,1,0,0,0,1
3051,15.538277155705378,40235,6210,1610,290,4,4.5,2.0,3,12,0,0,0,1,0,1,0,0
8036,12.994530005894443,9600,1060,340,0,3,1.0,1.0,4,6,0,0,0,1,0,0,0,0
13415,13.560618308335483,10289,1440,480,130,3,2.0,1.0,3,7,0,0,1,1,0,1,0,0
17464,13.782471737477271,1786,1200,270,0,3,3.5,2.0,3,8,0,0,1,1,0,1,0,0
1379,13.763164077592064,2690,1560,0,0,3,2.5,2.0,3,7,0,0,1,1,0,1,0,0
21234,14.741751620691597,4505,2970,700,340,4,3.5,2.0,3,9,0,0,1,1,0,0,0,0
17820,13.652991628466498,2565,1080,180,0,3,1.0,1.5,4,7,0,0,1,1,0,1,0,0
6502,13.864300722133706,2600,850,180,0,3,2.0,1.0,4,7,0,0,1,1,0,0,0,1
11932,13.38472764187182,9180,940,0,580,2,1.0,1.0,3,6,1,0,1,0,0,1,0,0
21134,13.217673557208654,9805,870,0,560,2,1.0,1.0,3,6,1,0,0,0,0,0,0,0
25209,13.514405465180353,27017,1384,0,359,2,2.0,1.0,4,7,0,0,0,0,0,1,0,0
10762,14.038654109278484,4574,1750,0,90,3,1.0,1.5,3,7,0,0,1,1,0,0,0,1
4816,13.507625778194974,3192,880,0,40,2,2.0,1.0,3,7,0,0,1,1,0,0,0,1
28845,13.539757056377766,708,1200,0,350,2,2.0,3.0,3,8,0,0,0,1,0,0,0,0
23378,13.398402938072035,900,970,0,340,2,2.0,3.0,3,8,0,0,0,1,0,0,0,0
26448,13.750438561220559,4400,1160,0,170,4,2.0,1.0,3,7,0,0,1,1,0,0,0,1
2265,13.217673557208654,8625,730,0,0,2,1.0,1.0,2,6,0,0,0,1,0,1,0,0
12358,13.081541382884074,6010,730,0,0,2,1.0,1.0,3,6,0,0,0,1,0,0,0,1
7000,13.5985975564007,7200,1490,240,270,3,2.0,2.0,3,7,0,0,0,1,0,1,0,0
22959,13.296316684527767,6217,730,0,50,2,1.0,1.0,5,6,0,0,1,1,0,0,0,1
18260,12.834681304952548,6000,1670,0,0,2,2.0,1.0,3,7,0,0,0,1,0,0,0,1
23100,13.683806066966845,10800,1290,300,0,3,2.0,1.0,4,7,0,0,0,1,0,0,0,1
24186,14.230925996925606,7224,2310,500,590,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
12040,13.384650715836164,628,790,0,260,3,2.0,3.0,3,8,0,0,1,1,0,0,0,0
4648,13.369145327283938,988,790,0,260,2,2.0,3.0,3,8,0,0,1,1,0,0,0,0
29457,13.369145327283938,808,790,0,260,2,2.0,3.0,3,8,0,0,1,1,0,0,0,0
2552,13.487006490992238,8265,1560,0,70,4,3.0,1.0,2,7,0,0,1,1,0,0,0,1
9974,14.137594057133388,9153,1540,570,730,3,2.0,1.0,3,8,0,0,1,1,0,0,0,0
16283,13.45166712454693,9280,1440,0,190,3,1.0,2.0,3,7,0,0,0,1,0,0,0,0
25982,13.244581010128577,4178,1520,430,0,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
29485,14.585618779660347,12157,3200,880,60,4,2.5,2.0,3,10,0,0,0,1,0,1,0,0
12810,14.845129975145433,14484,3550,650,0,4,2.5,2.0,3,10,0,0,1,1,0,1,0,0
2484,14.626440774180603,12599,4756,750,120,6,5.5,2.0,3,11,0,0,1,1,0,1,0,0
1702,13.33343434748427,11249,1565,0,310,3,2.0,1.5,4,7,0,0,0,0,0,0,0,0
23115,14.077874822431765,82598,1354,0,377,3,2.0,1.5,3,7,0,0,0,0,0,0,0,0
3319,13.306350213517344,21279,1240,470,0,3,1.5,1.0,3,7,0,0,0,0,0,0,0,1
13395,13.693342923990066,983,1120,0,500,3,2.5,2.0,3,8,0,0,1,1,0,1,0,0
4462,13.820498099475314,1528,1120,0,500,3,2.5,2.0,3,8,0,0,1,1,0,1,0,0
26280,13.592360756630534,3720,790,0,50,3,2.0,1.0,4,7,0,0,1,1,0,1,0,0
17681,14.141210697603576,5580,1790,0,150,5,2.5,1.5,4,8,0,0,1,1,0,1,0,0
5947,13.854731271117556,3720,1520,0,230,3,3.5,1.5,5,7,0,0,1,1,0,1,0,0
28967,13.620103761621664,5580,1120,200,160,3,2.0,1.0,3,8,0,0,1,1,0,1,0,0
26876,14.702578431161525,13028,1750,430,180,3,2.5,1.0,4,8,0,0,1,1,0,1,0,0
10105,14.22097566607244,11655,1820,520,290,4,2.5,1.0,3,7,0,0,0,1,0,0,0,0
29009,15.068273526459642,12934,4480,1160,620,6,5.5,2.0,4,11,0,0,1,1,0,1,0,0
14065,15.079072153701867,11270,3030,460,60,4,4.5,2.0,3,10,0,0,1,1,0,1,0,0
28995,14.920767389351052,19536,3180,680,580,4,3.0,1.0,3,10,0,0,1,1,0,1,0,0
16218,13.864300722133706,9012,1420,620,650,4,3.0,1.0,4,8,0,0,1,1,0,1,0,0
14217,12.741650392310877,7500,1270,480,0,3,1.5,1.0,5,7,0,0,0,1,0,1,0,0
13320,13.592367006650065,8701,1270,480,140,3,1.0,1.0,4,7,0,0,0,1,0,1,0,0
12533,13.716891710551105,5568,810,240,0,3,1.0,1.0,5,6,0,0,1,1,0,0,0,1
7252,13.883169206438088,5508,1380,0,170,2,1.0,1.0,3,7,0,0,1,1,0,0,0,1
9282,13.737549016494562,6276,1270,0,140,3,1.0,1.0,3,8,0,0,1,1,0,0,0,1
8804,13.749726461419632,8031,1430,650,120,3,2.5,1.0,4,7,0,0,1,1,0,1,0,0
12846,13.8878312195439,8205,1160,310,0,4,2.0,1.0,4,7,0,0,1,1,0,1,0,0
4820,13.475833190394113,9600,1400,270,50,4,2.0,1.0,4,7,0,0,1,0,0,0,0,0
21558,14.089347223594002,9872,2850,780,240,5,2.5,2.0,3,8,0,0,0,1,0,1,0,0
10679,13.77468856344402,30994,1390,560,510,3,2.0,2.0,4,7,1,0,0,1,0,0,0,0
12657,13.604789526648622,6283,1660,0,470,2,2.0,2.0,5,7,0,0,0,0,0,0,0,0
1267,12.92243573914012,26085,1370,0,790,2,1.0,1.0,5,6,0,0,0,0,0,0,0,0
23439,13.617059619240436,20771,1790,0,300,2,2.0,1.0,5,7,0,0,0,0,0,0,0,1
6500,13.120361374733656,8153,1040,0,340,3,1.0,3.0,5,5,1,0,0,0,0,0,0,0
16359,13.815509557963773,27256,2670,0,0,2,2.5,2.0,3,9,1,0,0,0,0,1,0,0
219,13.194684038983954,8427,1120,0,570,2,2.0,1.5,5,7,1,0,1,0,0,0,0,0
13933,14.155547860749984,19425,3170,780,150,4,2.5,2.0,3,9,0,0,0,0,0,1,0,0
5352,13.345506928718539,16317,970,0,0,2,1.0,1.0,5,6,0,0,1,0,0,0,0,0
18411,13.217673557208654,20167,1050,290,380,3,1.5,1.0,4,6,0,0,1,0,0,0,0,1
20699,13.579788224443204,10318,1850,480,40,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
9007,13.122363377404328,8758,1610,480,500,3,2.0,2.0,3,7,0,0,0,1,0,1,0,0
19032,14.465228180596883,7050,2130,0,440,4,2.5,2.0,3,8,0,0,1,1,0,1,0,0
14539,14.28551418721001,4672,2680,870,170,4,3.0,2.0,3,8,0,0,1,1,0,1,0,0
13666,13.997832114758229,5573,2620,740,0,4,3.0,2.0,3,8,0,0,1,1,0,1,0,0
28241,13.369223455335854,6602,940,360,0,3,1.0,1.0,3,7,0,0,0,1,0,0,0,1
1033,13.652991628466498,6000,2020,240,420,4,2.0,1.0,3,7,0,0,0,1,0,0,0,1
26929,13.458835614025542,4716,2230,460,490,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
4595,13.329377546788654,4309,1790,470,40,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
25,13.270783382522602,4482,1370,600,120,3,3.0,1.0,3,7,0,0,1,1,0,1,0,0
27233,13.38472764187182,5192,2200,480,160,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
1606,14.22097566607244,5801,1630,430,60,3,2.5,1.0,3,8,0,0,1,1,0,1,0,0
5330,13.795307850646754,5719,2020,440,270,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0
11068,14.151982794585487,5333,2080,430,60,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
4161,13.790192749979985,8562,2090,430,230,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0
25575,14.077874822431765,5426,1810,460,60,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0
4071,13.77468856344402,6114,1850,420,60,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0
19701,12.691580461311874,5498,1300,0,110,3,2.0,2.0,4,6,0,0,1,1,0,1,0,0
3018,14.334304351379442,5750,2840,580,130,3,2.5,2.0,3,9,0,0,1,1,0,1,0,0
265,13.235692062711331,7330,1660,570,0,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
25207,14.253765488895429,4500,1860,0,140,3,2.5,2.0,4,8,0,0,1,1,0,1,0,0
15891,14.097677449727945,3000,1840,0,200,3,2.5,2.0,3,9,0,0,1,1,0,1,0,0
431,13.764217263576723,9359,1480,510,240,3,2.0,1.0,5,7,0,0,1,1,0,1,0,0
29801,14.379402902666957,10919,1170,400,570,3,2.5,1.0,3,8,0,0,1,1,0,1,0,0
6737,13.652991628466498,5162,2670,460,210,4,2.5,2.0,5,7,0,0,0,1,0,1,0,0
3011,13.599839021488766,6000,2770,640,700,4,2.5,2.0,5,8,0,0,0,1,0,1,0,0
4944,13.415032991367148,6321,2760,440,0,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
28506,13.399995114002609,6372,2720,480,100,4,2.5,2.0,4,7,0,0,0,1,0,1,0,0
20743,13.36138027787483,7227,3040,480,160,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
29893,13.487006490992238,3588,2120,440,0,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
21554,13.262125319779487,3691,2240,400,0,4,3.5,2.0,4,7,0,0,0,1,0,1,0,0
22255,13.38472764187182,8955,1520,0,140,3,1.0,1.0,2,6,0,0,1,1,0,0,0,1
7417,13.732128949025222,4000,2400,410,450,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0
12370,13.726679344257658,5000,1040,360,0,5,2.5,1.0,4,7,0,0,1,1,0,1,0,0
13992,13.500799813124575,4154,1080,0,0,3,2.5,1.0,4,7,0,0,1,1,0,1,0,0
24674,13.547631112808673,3887,1290,400,250,4,3.0,1.0,4,7,0,0,1,1,0,1,0,0
20797,13.444446876573442,4360,1530,400,380,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
15634,13.075271769870477,4000,470,0,100,1,1.0,1.0,5,5,0,0,0,1,0,0,0,0
28520,13.473020249017498,4000,1310,0,70,3,2.0,1.0,3,7,0,0,0,1,0,0,0,0
13175,13.130641022970417,4000,780,0,0,3,1.5,1.5,3,7,0,0,1,1,0,1,0,0
4178,13.33731345369001,5700,1280,0,0,3,2.0,1.0,4,6,0,0,0,1,0,0,0,0
1748,12.542544882151386,4000,2230,380,250,4,3.5,2.0,3,8,0,0,1,1,0,1,0,0
27305,13.190022025878143,4000,1160,0,70,2,1.0,1.5,4,7,0,0,1,1,0,1,0,0
10015,12.957488734214095,4000,600,0,0,1,1.0,1.0,4,5,0,0,0,1,0,0,0,0
22435,13.199324418540456,6000,910,0,20,2,1.5,1.0,5,6,0,0,1,1,0,0,0,1
9263,13.12236137740233,4960,1070,0,60,2,1.0,1.0,3,7,0,0,0,1,0,1,0,0
15622,13.304684934198283,7740,1230,0,0,3,1.0,1.5,4,7,0,0,1,1,0,0,0,1
28163,13.304684934198283,5146,1270,0,0,3,1.0,1.0,3,7,0,0,1,1,0,0,0,0
24200,13.45166712454693,6450,880,0,110,4,2.0,1.0,4,7,0,0,1,1,0,1,0,0
5459,13.314635265051452,5160,900,0,150,3,1.0,1.0,4,7,0,0,1,1,0,1,0,0
21699,13.270783382522602,2524,750,0,300,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0
12698,13.270783382522602,1170,750,0,300,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0
17601,13.480037821676145,1058,1100,170,0,3,3.0,2.0,3,8,0,0,1,1,0,0,0,0
22043,13.500799813124575,1060,1100,170,0,3,3.0,2.0,3,8,0,0,1,1,0,0,0,0
5475,13.500731317628127,1340,1100,170,0,3,3.0,2.0,3,8,0,0,1,1,0,0,0,0
2016,13.500731317628127,1615,1140,360,0,3,2.0,2.0,3,8,0,0,1,1,0,0,0,0
26727,13.514337895329994,2019,1140,360,0,3,2.0,2.0,3,8,0,0,1,1,0,0,0,0
8800,13.180632285528304,4000,720,0,180,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0
6095,13.04104485622674,4000,840,0,170,2,1.0,1.0,3,6,0,0,0,1,0,0,0,0
2921,13.368441900001034,4240,1120,400,650,4,2.5,1.0,3,7,0,0,1,1,1,0,0,0
26406,10.325481962595504,4200,720,220,0,3,1.0,1.0,3,6,0,0,1,1,0,1,0,0
3468,13.592367006650065,4200,720,0,210,3,2.5,1.0,3,7,0,0,1,1,0,0,0,0
24180,13.626768433367397,7500,960,0,40,3,1.0,1.5,4,6,0,0,1,1,0,0,0,1
1722,13.306350213517344,3650,780,0,270,3,2.0,1.0,4,6,0,0,1,1,0,0,0,0
20993,12.765688433465597,4000,500,0,20,1,1.0,1.0,3,5,0,0,0,1,0,0,0,0
18444,13.543045451317354,6174,1120,0,60,3,2.0,1.0,5,6,0,0,0,1,0,1,0,0
19006,13.790192749979985,3998,1180,370,170,5,3.0,1.0,4,7,0,0,1,1,0,1,0,0
24269,13.569610019527449,10787,1450,420,430,5,3.0,1.0,4,7,0,0,1,1,0,0,0,0
24360,13.507625778194974,2632,1180,200,70,3,3.5,2.0,4,8,0,0,1,1,0,1,0,0
5786,13.353475098367715,1334,980,200,0,3,2.5,2.0,4,8,0,0,1,1,0,0,0,0
14653,13.270783382522602,5150,1070,0,0,3,1.5,1.0,5,6,0,0,0,1,0,1,0,0
363,13.319573546692034,4320,700,0,120,3,2.5,1.0,3,7,0,0,1,1,0,1,0,0
3428,13.644722236983993,2514,2340,0,0,6,5.0,3.0,3,7,0,0,0,1,0,1,0,0
27290,13.617059619240436,4800,2020,250,315,4,2.0,2.0,3,8,0,0,1,1,0,1,0,0
25326,13.38472764187182,7140,860,0,60,2,1.0,1.0,4,6,0,0,1,1,0,0,0,1
9682,13.071070083016778,4760,580,0,100,2,2.0,1.0,4,6,0,0,1,1,0,1,0,0
16185,13.527828485512494,2654,2110,400,80,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
15111,13.478638241321722,10517,2060,0,560,4,2.0,1.5,3,8,0,0,1,1,0,1,0,0
25127,13.203021280421783,7500,1220,550,100,3,3.0,1.0,4,8,0,0,1,1,0,1,0,0
13369,13.244581010128577,8750,2160,420,350,4,2.5,2.0,4,8,0,0,0,1,0,1,0,0
27506,13.329377546788654,5224,1590,420,150,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
1587,13.345506928718539,5000,1920,440,220,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
109,13.592367006650065,66211,2150,570,0,3,2.0,1.0,4,7,0,0,0,0,0,1,0,0
23621,13.415032991367148,46017,1270,0,40,2,1.0,1.0,4,7,0,0,1,1,0,0,0,1
26649,13.17115354157376,10827,1834,759,214,4,3.5,2.0,3,7,0,0,0,1,0,1,0,0
23385,13.142166004700508,8676,980,240,308,3,1.0,1.0,3,7,0,0,1,1,0,1,0,0
1814,12.815838217151068,10215,1970,240,0,4,1.0,1.0,3,7,0,0,1,1,0,1,0,0
1741,12.611537753638338,9720,940,240,0,3,1.5,1.0,3,7,0,0,1,1,0,1,0,0
11184,13.399995114002609,9825,2536,706,148,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0
2313,13.541073712262515,9825,2536,706,148,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0
16894,13.591116224748411,39729,1770,460,210,4,2.5,1.0,3,8,0,0,1,0,0,0,0,0
26311,13.710150042306449,13338,3844,640,460,3,3.0,2.0,3,10,0,0,0,1,0,1,0,0
23328,13.437174117244362,7615,2300,640,40,4,2.5,2.0,5,8,0,0,0,1,0,1,0,0
4902,13.67969083482174,62290,2290,480,980,3,3.0,1.0,4,8,0,0,0,0,0,0,0,0
7692,13.592367006650065,16991,1970,480,270,4,1.5,1.0,5,7,0,0,0,0,0,1,0,0
29694,13.500799813124575,34412,1740,780,0,2,2.0,1.0,4,7,0,0,0,0,0,1,0,0
23440,13.742939865129438,44866,1510,570,1020,3,2.5,1.0,4,8,0,0,1,0,0,1,0,0
1303,13.976778705560397,138085,2250,0,910,4,3.5,2.0,4,8,0,0,0,0,0,0,0,0
18422,13.151922179645874,1370,980,190,0,3,1.5,2.0,3,8,0,0,1,1,0,1,0,0
10375,13.287877815881902,6300,1310,340,260,3,2.0,1.0,3,7,0,0,1,1,0,1,0,0
14522,13.864300722133706,81021,2471,528,608,3,3.0,2.0,3,8,0,0,1,0,0,0,0,0
28028,13.019222618484815,11277,670,0,0,3,1.0,1.0,4,6,0,0,1,1,0,1,0,0
4490,13.235692062711331,16247,1190,550,420,3,1.5,1.0,4,7,0,0,0,1,0,1,0,0
23327,13.617059619240436,29471,1080,0,130,3,1.5,1.0,4,7,0,0,1,1,0,1,0,0
22239,13.38472764187182,31050,1280,0,0,2,1.0,1.0,3,5,0,0,0,1,0,1,0,0
8354,13.102058624063964,7300,1310,0,40,3,2.0,1.0,4,6,0,0,0,0,0,1,0,0
2373,13.38472764187182,9000,2020,0,390,4,2.0,1.5,5,7,0,0,0,0,0,1,0,0
8700,13.151922179645874,8450,710,250,200,2,1.0,1.0,4,7,0,0,0,1,0,1,0,0
23060,11.191341840842766,8920,3200,510,80,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0
20548,13.407542319637992,7200,980,0,80,4,2.5,1.0,4,7,0,0,1,1,0,0,0,1
29493,13.199324418540456,11880,1040,0,0,3,1.0,1.0,3,7,0,0,0,0,0,0,0,0
10318,13.068962600677214,12590,1260,0,300,2,1.0,1.0,4,6,0,0,0,0,0,0,0,1
26848,13.060487973686241,11250,1250,0,100,4,2.0,1.0,4,6,0,0,0,1,0,1,0,0
28416,13.017002861746503,7844,1510,0,0,2,1.5,1.0,3,7,0,0,0,1,0,1,0,0
26771,12.896716695872,7202,1130,0,0,3,2.0,1.0,3,7,0,0,0,1,0,1,0,0
24267,13.518451323699896,9972,2670,420,80,5,2.5,2.0,3,8,0,0,0,1,0,1,0,0
15123,13.303851253449706,9583,1200,0,0,3,1.0,1.0,4,6,1,0,0,0,0,0,0,0
11195,12.92391243868049,1612,980,220,0,4,2.5,2.0,3,7,0,0,1,1,0,1,0,0
21010,13.38472764187182,6104,990,460,100,4,3.0,1.0,3,7,0,0,1,1,0,1,0,0
16122,13.38472764187182,16500,1390,0,0,2,1.0,1.0,3,6,0,0,1,1,0,1,0,0
6791,13.38472764187182,14025,930,240,0,4,1.0,1.0,3,7,0,0,1,1,0,0,0,1
4786,13.353475098367715,6837,840,0,70,2,1.0,1.0,3,6,0,0,0,1,0,0,0,0
29812,12.676076274775909,5040,910,0,100,3,2.0,1.0,4,6,0,0,0,1,0,0,0,0
6902,13.458835614025542,6225,1410,0,0,3,1.0,1.0,3,6,0,0,0,1,0,0,0,0
15744,13.304684934198283,5151,1340,480,100,5,3.0,1.0,3,7,0,0,1,1,0,1,0,0
23682,14.28551418721001,4984,2810,480,150,5,4.5,2.0,3,9,0,0,0,1,0,0,0,0
29263,13.997832114758229,7223,2840,500,40,5,3.5,2.0,3,9,0,0,0,1,0,1,0,0
1423,14.530419230305732,324086,3190,550,770,3,2.5,2.0,4,9,0,0,0,0,0,0,0,0
